cos_heading,sin_heading,cos_goal_dir,sin_goal_dir,local_obstacle_density,teammate_distance_norm,target_dx,target_dy
1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0
0.8191520442889918,0.573576436351046,0.0,1.0,0.0,0.5,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0
0.3420201433256688,0.9396926207859083,0.0,1.0,0.0,0.5,0.0,1.0
0.8191520442889918,0.573576436351046,0.5547001962252291,0.8320502943378437,0.0,0.5,0.0,0.0
6.123233995736766e-17,1.0,0.0,1.0,0.0,0.5099019513592784,0.0,1.0
0.3420201433256688,0.9396926207859083,0.5547001962252291,0.8320502943378437,0.0,0.5099019513592784,0.0,1.0
6.123233995736766e-17,1.0,0.0,1.0,0.0,0.5099019513592784,0.0,1.0
6.123233995736766e-17,1.0,0.6246950475544243,0.7808688094430304,0.0,0.5099019513592784,0.0,1.0
6.123233995736766e-17,1.0,0.19611613513818404,0.9805806756909202,0.0,0.5099019513592784,0.0,1.0
6.123233995736766e-17,1.0,0.6246950475544243,0.7808688094430304,0.0,0.5099019513592784,0.0,0.0
6.123233995736766e-17,1.0,0.24253562503633297,0.9701425001453319,0.0,0.5385164807134504,0.0,1.0
0.573576436351046,0.8191520442889918,0.6246950475544243,0.7808688094430304,0.0,0.5385164807134504,1.0,1.0
6.123233995736766e-17,1.0,0.31622776601683794,0.9486832980505138,0.0,0.6324555320336759,0.0,1.0
0.7071067811865476,0.7071067811865475,0.6,0.8,0.0,0.6324555320336759,1.0,1.0
6.123233995736766e-17,1.0,0.4472135954999579,0.8944271909999159,0.0,0.7280109889280518,0.0,1.0
0.7071067811865476,0.7071067811865475,0.5547001962252291,0.8320502943378437,0.0,0.7280109889280518,0.0,0.0
6.123233995736766e-17,1.0,0.7071067811865475,0.7071067811865475,0.0,0.7615773105863909,0.0,0.0
0.17364817766693041,0.984807753012208,0.5547001962252291,0.8320502943378437,0.0,0.7615773105863909,0.0,1.0
0.573576436351046,0.8191520442889918,0.7071067811865475,0.7071067811865475,0.0,0.7280109889280518,0.0,0.0
6.123233995736766e-17,1.0,0.7071067811865475,0.7071067811865475,0.0,0.7280109889280518,0.0,0.0
0.9396926207859084,0.3420201433256687,0.7071067811865475,0.7071067811865475,0.0,0.7280109889280518,0.0,0.0
-0.5735764363510462,0.8191520442889917,0.7071067811865475,0.7071067811865475,0.0,0.7280109889280518,0.0,0.0
0.573576436351046,0.8191520442889918,-0.1643989873053573,0.9863939238321437,0.0,0.7280109889280518,0.0,0.0
6.123233995736766e-17,1.0,0.7682212795973759,-0.6401843996644799,0.0,0.7280109889280518,0.0,0.0
6.123233995736766e-17,1.0,-0.1643989873053573,0.9863939238321437,0.0,0.7280109889280518,0.0,0.0
0.573576436351046,0.8191520442889918,0.7682212795973759,-0.6401843996644799,0.0,0.7280109889280518,0.0,0.0
